attribute_id,attribute_name,DisToAll,Chicken,Pizza,Burger,Salad,Pasta,Sushi,Steak,Tacos,Soup,Sandwich,Fries,Hotdog,Curry,Rice,Fish,Cake
1,frying,2.82076,0.390567,0.0867926,0,0.173585,0.694341,0.260378,0.173585,0.0867926,0.173585,0.0433963,0.303774,0,0,0,0.260378,0.173585
2,oysters,2.53383,0.244225,0,0,0.0305281,0.274753,0.152641,0.0915844,0.702147,0.213697,0.0305281,0.213697,0,0,0,0.48845,0.0915844
3,cupcake,1.73205,0,0.69282,0,0,0.11547,0,0,0,0,0.11547,0,0.11547,0,0,0,0.69282
4,breakfast,2.73411,0.32339,0.705577,0,0.176394,0.0881972,0.293991,0.205793,0,0.176394,0.382188,0.176394,0,0,0.117596,0,0.0881972
5,tortilla,2.76242,0.170872,0.455657,0,0.0854358,0.341743,0.113914,0.0284786,0.19935,0.512615,0.19935,0.142393,0,0,0,0,0.512615
6,clam,2.30677,0.427179,0.256307,0,0,0.170872,0,0.683486,0,0.427179,0.256307,0,0,0,0,0.0854358,0
7,boneless,1.40329,0.613941,0,0,0,0,0,0.789352,0,0,0,0,0,0,0,0,0
8,cracker,1.89624,0.0729325,0.729325,0,0,0,0,0.437595,0,0.0729325,0.510527,0,0,0,0,0,0.0729325
9,dinners,2.59248,0,0.304997,0,0.457496,0.457496,0.304997,0.457496,0.304997,0,0,0,0,0,0,0,0.304997
10,custard,2.40159,0.153293,0.102195,0,0.255488,0.20439,0,0.255488,0,0.102195,0.510976,0.102195,0,0,0,0,0.715367
11,lemon,1.22818,0.0280193,0.00933978,0,0.0373591,0.00466989,0,0.0186796,0,0.0466989,0.0140097,0,0,0.994687,0,0,0.0747182
12,chili,1.61972,0.0791595,0.0669811,0,0.0548027,0.0182676,0.00608919,0.109605,0.115695,0.0913379,0.030446,0.030446,0,0.97427,0,0.030446,0.0121784
13,pepper,1.25652,0.0448759,0,0,0.0280474,0.0168285,0,0.0448759,0,0.0841423,0,0,0,0.992879,0.0448759,0,0
14,sugar,2.4562,0.249783,0,0,0.124892,0.166522,0,0,0,0.166522,0,0.0416305,0,0.541197,0.666089,0.291414,0.208153
15,fry,1.30806,0.0392417,0,0,0.0196208,0.00654028,0,0.0392417,0,0.0327014,0.0261611,0.0588625,0,0.994123,0.0392417,0.0327014,0.0196208
16,grits,2.76041,0.230034,0.16431,0,0.16431,0.624379,0.197172,0.230034,0.131448,0.558655,0.0657241,0.197172,0,0,0,0,0.197172
17,dessert,2.6756,0.06689,0.356747,0,0.434785,0.189522,0.624307,0.0780383,0.0557417,0.111483,0.323302,0.0891867,0,0,0,0,0.345598
18,mozzarella,2.19393,0.11547,0.057735,0,0,0.34641,0,0.288675,0,0.404145,0.750555,0.23094,0,0,0,0,0
19,bread,2.30499,0.126109,0.560483,0.0280242,0.0910785,0.0840725,0.0420362,0.126109,0,0.105091,0.126109,0.763658,0,0.0490423,0.0420362,0.0140121,0.147127
20,espresso,2.40192,0.0533761,0.747265,0,0,0.373632,0.160128,0,0.320256,0.0533761,0.26688,0.26688,0,0,0,0,0.160128
